PWSID,System Name,County,Regulating Agency,Water Quality Risk Level_Display,Accessability Risk Level_Display,Affordability Risk Level_Display,TMF Capacity Risk Level_Display,POPULATION ,SAFER STATUS,Distinct count of PWSID,Funding Since 2017
CA0300010,DRYTOWN COUNTY WATER DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,Not Assessed,Low Risk,214,Not At-Risk,1,$0 
CA0300011,SUTTER PINES MHP,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Low Risk,40,Potentially At-Risk,1,$0 
CA0300016,VOLCANO COMMUNITY SERVICE DIST,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,Not Assessed,No Risk,160,Not At-Risk,1,$0 
CA0300019,FIDDLETOWN COMMUNITY SERVICE,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Low Risk,100,Not At-Risk,1,$0 
CA0300024,TABEAU MOBILE HOME PARK,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Low Risk,62,Not At-Risk,1,$0 
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,No Risk,Low Risk,"3,553",Not At-Risk,1,$0 
CA0300053,RANCHO DEL ORO,AMADOR,DISTRICT 10 - STOCKTON,Medium Risk,High Risk,No Risk,Low Risk,44,At-Risk,1,$0 
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,No Risk,299,Failing,1,$0 
CA0300078,IONE BAND OF MIWOK INDIANS,AMADOR,DISTRICT 10 - STOCKTON,No Risk,High Risk,No Risk,Medium Risk,40,Potentially At-Risk,1,$0 
CA0310001,CITY OF JACKSON,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Medium Risk,Low Risk,Low Risk,"4,686",Failing,1,$0 
CA0310002,"AWA, IONE",AMADOR,DISTRICT 10 - STOCKTON,Low Risk,High Risk,No Risk,Low Risk,"6,170",Failing,1,$0 
CA0310003,"AWA, TANNER",AMADOR,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"4,943",Not Assessed,1,$0 
CA0310004,"PLYMOUTH, CITY OF",AMADOR,DISTRICT 10 - STOCKTON,Low Risk,No Risk,No Risk,Low Risk,"1,060",Failing,1,$0 
CA0310005,PINE GROVE COMM SERV DIST,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Medium Risk,High Risk,No Risk,907,Potentially At-Risk,1,"$2,500,000 "
CA0310006,RIVER PINES PUD,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,High Risk,Low Risk,510,Not At-Risk,1,$0 
CA0310008,CAMANCHE NORTH SHORE INC.,AMADOR,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,No Risk,Low Risk,"1,184",Not At-Risk,1,$0 
CA0310011,FIRST MACE MEADOW # 1,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,Low Risk,No Risk,838,Not At-Risk,1,$0 
CA0310012,AWA BUCKHORN PLANT,AMADOR,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"8,809",Not Assessed,1,$0 
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,No Risk,200,Not At-Risk,1,$0 
CA0310019,AWA LA MEL HEIGHTS #3,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Low Risk,188,Not At-Risk,1,$0 
CA0310021,AWA - CAMANCHE VILLAGE,AMADOR,DISTRICT 10 - STOCKTON,No Risk,Low Risk,No Risk,Low Risk,"2,384",Not At-Risk,1,$0 
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,No Risk,Medium Risk,150,Not At-Risk,1,$0 
CA0400003,HARTLEY MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,31,Not At-Risk,1,$0 
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,Not Assessed,Low Risk,92,Potentially At-Risk,1,$0 
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,Low Risk,399,Not At-Risk,1,$0 
CA0400008,GRAN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,High Risk,Low Risk,200,Not At-Risk,1,$0 
CA0400012,FARM LABOR HOUSING,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,Low Risk,460,At-Risk,1,$0 
CA0400013,MERRY MOUNTAIN MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,Low Risk,100,Not At-Risk,1,$0 
CA0400014,LAKE MADRONE WATER DISTRICT,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,No Risk,Low Risk,297,Not At-Risk,1,$0 
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Not Assessed,Low Risk,77,Not At-Risk,1,$0 
CA0400019,OROVILLE MOBILE HOME PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,74,Not At-Risk,1,$0 
CA0400020,PLEASANT GROVE MHP,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,High Risk,327,Not At-Risk,1,$0 
CA0400021,ROBINSON'S CORNER MHP,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,No Risk,Low Risk,20,Potentially At-Risk,1,$0 
CA0400023,GOLDEN OAKS MOBILE ESTATES,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,Not Assessed,Low Risk,34,Not At-Risk,1,$0 
CA0400026,MEADOWBROOK OAKS,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,50,Potentially At-Risk,1,$0 
CA0400027,FOOTHILL SOLAR COMPANY,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,180,Not At-Risk,1,$0 
CA0400030,GOLDEN FEATHER MHP,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,Low Risk,Low Risk,275,Not At-Risk,1,$0 
CA0400036,MOUNTAIN VIEW MHC LLC,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,High Risk,230,Potentially At-Risk,1,$0 
CA0400040,ALMOND GROVE MOBILE PARK,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,No Risk,Medium Risk,250,At-Risk,1,$0 
CA0400041,FOREST RANCH MOBILE PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,25,Not At-Risk,1,$0 
CA0400042,FOREST VILLAGE LLC,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,34,Not At-Risk,1,$0 
CA0400051,DINGERVILLE USA PARK,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,Low Risk,447,Not At-Risk,1,$0 
CA0400060,HONCUT ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,Low Risk,No Risk,No Risk,25,Failing,1,$0 
CA0400062,RICHVALE ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,63,Not At-Risk,1,$0 
CA0400063,MANZANITA ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,No Risk,295,Failing,1,"$495,000 "
CA0400064,CONCOW ELEMENTARY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,115,Not At-Risk,1,$0 
CA0400065,SPRING VALLEY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,No Risk,70,Failing,1,$0 
CA0400067,FEATHER RIVER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,High Risk,High Risk,No Risk,No Risk,25,Failing,1,$0 
CA0400068,BERRY CREEK SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,95,Potentially At-Risk,1,$0 
CA0400073,NORD COUNTRY SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,66,Not At-Risk,1,$0 
CA0400078,FOREST KNOLLS MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,46,Not At-Risk,1,$0 
CA0400079,FOREST RANCH CHARTER SCHOOL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,146,Not At-Risk,1,$0 
CA0400081,FEATHER RIDGE ESTATES WATER CO,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Medium Risk,No Risk,High Risk,37,Failing,1,$0 
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,Not Assessed,Low Risk,40,Potentially At-Risk,1,$0 
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,99,Not At-Risk,1,$0 
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,No Risk,50,Not At-Risk,1,$0 
CA0400149,HUMBOLDT WOODLANDS MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,High Risk,No Risk,Low Risk,75,Not At-Risk,1,$0 
CA0400151,KEEFER CREEK ESTATES,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,Low Risk,Low Risk,No Risk,160,Not At-Risk,1,$0 
CA0400155,BIGGERS GLEN MUTUAL WATER CO,BUTTE,LPA34 - BUTTE COUNTY,Low Risk,High Risk,No Risk,High Risk,25,At-Risk,1,$0 
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,BUTTE,LPA34 - BUTTE COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,600,Not Assessed,1,$0 
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,BUTTE,DISTRICT 21 - VALLEY,Low Risk,Low Risk,High Risk,Low Risk,792,Not At-Risk,1,$0 
CA0409181,BLUE OAK TERRACE MUTUAL,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,High Risk,No Risk,70,Not At-Risk,1,$0 
CA0409183,SIERRA MOON WATER COMPANY,BUTTE,LPA34 - BUTTE COUNTY,No Risk,Low Risk,No Risk,Low Risk,120,Not At-Risk,1,$0 
CA0410001,CITY OF BIGGS,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,High Risk,Low Risk,"1,805",Not At-Risk,1,$0 
CA0410002,CAL-WATER SERVICE CO.-CHICO,BUTTE,DISTRICT 21 - VALLEY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"104,908",Not Assessed,1,$0 
CA0410003,DURHAM IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,Low Risk,"1,561",Not At-Risk,1,$0 
CA0410004,CITY OF GRIDLEY,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,Medium Risk,Low Risk,"7,246",Not At-Risk,1,$0 
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,BUTTE,DISTRICT 21 - VALLEY,Medium Risk,Low Risk,High Risk,Low Risk,"10,698",At-Risk,1,$0 
CA0410006,SFWP-MINERS RANCH,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Low Risk,"22,780",Not At-Risk,1,$0 
CA0410007,PARADISE IRRIGATION DISTRICT,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,Low Risk,"4,600",Not At-Risk,1,$0 
CA0410008,THERMALITO WATER & SEWER DIST,BUTTE,DISTRICT 21 - VALLEY,Low Risk,Low Risk,No Risk,Low Risk,"10,154",Not At-Risk,1,$0 
CA0410009,DEL ORO WATER CO.-MAGALIA,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,High Risk,No Risk,297,Not At-Risk,1,$0 
CA0410011,DEL ORO WATER CO.-PARADISE PINES,BUTTE,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,No Risk,"10,513",Not At-Risk,1,$0 
CA0410012,SFWP-BANGOR,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Low Risk,73,Not At-Risk,1,$0 
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,BUTTE,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,No Risk,514,Not At-Risk,1,$0 
CA0500019,MINERAL MOUNTAIN MUTUAL WATER,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,No Risk,Low Risk,125,Not At-Risk,1,$0 
CA0500027,LILI VALLEY WATER CO.,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,High Risk,No Risk,99,Not At-Risk,1,$0 
CA0500068,DUNROVIN MOBILE HOME VILLAGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,Not Assessed,Low Risk,99,Not At-Risk,1,$0 
CA0500075,LAKESIDE MOBILE ESTATES,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,High Risk,No Risk,Low Risk,54,Potentially At-Risk,1,$0 
CA0500085,TOYON MIDDLE SCHOOL,CALAVERAS,LPA35 - CALAVERAS COUNTY,No Risk,Low Risk,No Risk,No Risk,200,Not At-Risk,1,$0 
CA0500091,RITE OF PASSAGE/SIERRA RIDGE,CALAVERAS,LPA35 - CALAVERAS COUNTY,Low Risk,Low Risk,No Risk,No Risk,150,Not At-Risk,1,$0 
CA0500095,FOOTHILL COMMUNITY CHURCH,CALAVERAS,LPA35 - CALAVERAS COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,85,Not Assessed,1,$0 
CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Low Risk,No Risk,"4,620",Not At-Risk,1,$0 
CA0510002,CALAVERAS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,High Risk,Low Risk,No Risk,"6,286",Not At-Risk,1,$0 
CA0510003,"ANGELS, CITY OF",CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Low Risk,No Risk,"3,836",Potentially At-Risk,1,$0 
CA0510004,CCWD - SHEEP RANCH,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,High Risk,Low Risk,134,At-Risk,1,$0 
CA0510005,CCWD - WEST POINT,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Low Risk,High Risk,No Risk,988,Not At-Risk,1,$0 
CA0510006,CCWD - JENNY LIND,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Low Risk,No Risk,"9,592",Not At-Risk,1,$0 
CA0510009,BLUE LAKE SPRINGS MUT WTR,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,No Risk,No Risk,Low Risk,"4,600",Not At-Risk,1,$0 
CA0510010,VALLEY SPRINGS PUD,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,No Risk,Low Risk,900,Not At-Risk,1,$0 
CA0510011,SNOWSHOE SPRINGS ASSN.,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,Medium Risk,High Risk,Low Risk,596,Potentially At-Risk,1,$0 
CA0510012,CAMANCHE SOUTH SHORE-EBMUD,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,Low Risk,No Risk,Low Risk,"1,079",Not At-Risk,1,$0 
CA0510016,CCWD - EBBETTS PASS,CALAVERAS,DISTRICT 10 - STOCKTON,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"12,484",Failing,1,$0 
CA0510017,CCWD - COPPER COVE,CALAVERAS,DISTRICT 10 - STOCKTON,Low Risk,High Risk,Low Risk,No Risk,"4,416",Not At-Risk,1,$0 
CA0510019,CCWD - WALLACE,CALAVERAS,DISTRICT 10 - STOCKTON,No Risk,Medium Risk,Low Risk,No Risk,340,Not At-Risk,1,$0 
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,COLUSA,DISTRICT 21 - VALLEY,Low Risk,High Risk,No Risk,High Risk,250,At-Risk,1,$0 
CA0600008,COLUSA CO. WWD #1 - GRIMES,COLUSA,DISTRICT 21 - VALLEY,High Risk,Medium Risk,No Risk,Low Risk,305,Failing,1,$0 
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,COLUSA,DISTRICT 21 - VALLEY,No Risk,High Risk,No Risk,Medium Risk,246,Not At-Risk,1,$0 
CA0600013,COLUSA CO. WWD #2 - PRINCETON,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,No Risk,Low Risk,382,Not At-Risk,1,$0 
CA0605011,DEL ORO WC - ARBUCKLE DISTRICT,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,No Risk,No Risk,185,Not At-Risk,1,$0 
CA0610001,ARBUCKLE PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,No Risk,No Risk,"2,778",Not At-Risk,1,$0 
CA0610002,CITY OF COLUSA,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,Low Risk,No Risk,"6,175",Failing,1,$0 
CA0610003,MAXWELL PUBLIC UTILITY DISTRICT,COLUSA,DISTRICT 21 - VALLEY,No Risk,Low Risk,Low Risk,Low Risk,"1,175",Not At-Risk,1,$0 
CA0610004,CITY OF WILLIAMS,COLUSA,DISTRICT 21 - VALLEY,Low Risk,Low Risk,Low Risk,Low Risk,"5,255",Not At-Risk,1,"$5,405,000 "
CA0706004,OAKLEY MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,Low Risk,No Risk,No Risk,170,Failing,1,$0 
CA0706005,FARRAR PARK PROPERTY OWNERS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,140,Not At-Risk,1,$0 
CA0706027,ORIN ALLEN YOUTH REHAB FACILITY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Not Assessed,Not Assessed,Not Assessed,Not Assessed,300,Not Assessed,1,$0 
CA0706028,KNIGHTSEN ELEMENTARY SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,No Risk,350,Not At-Risk,1,$0 
CA0706029,EXCELSIOR MIDDLE SCHOOL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,No Risk,600,Not At-Risk,1,$0 
CA0707501,ANGLER S RANCH #3,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,60,Not At-Risk,1,$0 
CA0707507,WILLOW PARK MARINA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,Low Risk,Not Assessed,Low Risk,380,Failing,1,$0 
CA0707517,COLONIA SANTA MARIA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,No Risk,32,Not At-Risk,1,$0 
CA0707519,DUTCH SLOUGH WATER WORKS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,No Risk,49,Not At-Risk,1,$0 
CA0707523,FLAMINGO MOBILE MANOR,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,Not Assessed,No Risk,200,Not At-Risk,1,$0 
CA0707545,ORWOOD RESORT,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Low Risk,No Risk,Low Risk,350,Not At-Risk,1,$0 
CA0707547,KNIGHTSEN COMMUNITY WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,250,Not At-Risk,1,$0 
CA0707553,RIVERVIEW MOBILE HOMES,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,Low Risk,216,Not At-Risk,1,$0 
CA0707556,SANDMOUND MUTUAL,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Medium Risk,Low Risk,No Risk,No Risk,160,Not At-Risk,1,$0 
CA0707569,ANGLERS SUBDIVISION 4,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,No Risk,210,Not At-Risk,1,$0 
CA0707572,BETHEL ISLAND MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,No Risk,149,Not At-Risk,1,$0 
CA0707573,DELTA MUTUAL WATER COMPANY,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,Low Risk,No Risk,No Risk,225,Failing,1,$0 
CA0707574,SANTIAGO ISLAND VILLAGE,CONTRA COSTA,DISTRICT 04 - SAN FRANCISCO,No Risk,High Risk,High Risk,No Risk,400,At-Risk,1,"$171,075 "
CA0707575,FRANKS MARINA,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,Low Risk,185,Not At-Risk,1,$0 
CA0707576,PLEASANTIMES MUTUAL WATER CO,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,No Risk,380,Not At-Risk,1,$0 
CA0707577,RIVERVIEW WATER ASSOCIATION,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Low Risk,Low Risk,Low Risk,230,Not At-Risk,1,$0 
CA0707585,MORAGA HEIGHTS MUTUAL WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,60,Not At-Risk,1,$0 
CA0707588,BIG OAK MOBILE HOME PARK WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,Low Risk,No Risk,Low Risk,156,Not At-Risk,1,$0 
CA0707589,BELLA VISTA WATER SYS,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,High Risk,High Risk,No Risk,Low Risk,93,Failing,1,$0 
CA0707594,CASA MEDANOS WATER SYSTEM,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,45,Not At-Risk,1,$0 
CA0707597,SANDY POINT MOBILE HOME PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,Low Risk,67,Potentially At-Risk,1,$0 
CA0707598,CAMINO MOBILEHOME,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,Low Risk,High Risk,No Risk,Low Risk,210,Potentially At-Risk,1,$0 
CA0707601,RUSSOS MOBILE PARK,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,High Risk,No Risk,Low Risk,110,Not At-Risk,1,$0 
CA0707603,CLAYTON PALMS WATER,CONTRA COSTA,LPA37 - CONTRA COSTA COUNTY,No Risk,Medium Risk,No Risk,Low Risk,287,Not At-Risk,1,$0 
