PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA0910006,GRIZZLY FLATS COMMUNITY SERVIC,Region 9,California,Community water system,"1,300",,El Dorado,5,3,14
CA1910154,CITY OF SOUTH PASADENA,Region 9,California,Community water system,"26,174",SOUTH PASADENA,Los Angeles,20,3,18
CA2701789,HOLLY HILLS MWC,Region 9,California,Community water system,108,,Monterey,5,10,10
CA2700606,HIDDEN VIEWS MHP WS,Region 9,California,Community water system,75,,Monterey,3,33,12
CA1010007,CITY OF FRESNO,Region 9,California,Community water system,"541,990",FRESNO,Fresno,849,11,66
CA0810003,BERTSCH OCEAN VIEW CSD,Region 9,California,Community water system,"1,600",,Del Norte,3,1,13
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,Region 9,California,Community water system,60,,Kern,12,3,6
CA4200618,MIDLAND SCHOOL,Region 9,California,Community water system,300,,Santa Barbara,7,12,9
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Region 9,California,Community water system,"10,667",,San Bernardino,13,13,15
CA2701279,COASTLANDS MWS (POST CREEK),Region 9,California,Community water system,129,,Monterey,7,12,6
CA2700548,DOLAN RD MWC,Region 9,California,Community water system,120,,Monterey,3,20,9
CA2700738,SAN MIGUEL WS #01,Region 9,California,Community water system,100,,Monterey,5,76,12
CA2701956,PIONEER PLACE MWS,Region 9,California,Community water system,66,,Monterey,3,21,15
CA2701742,CALIFORNIA ORCHARD WS,Region 9,California,Community water system,150,,Monterey,12,14,13
CA2701403,PINE ST WS #01,Region 9,California,Community water system,36,,Monterey,5,4,11
CA2701036,APPLE AVE WS #03,Region 9,California,Community water system,60,,Monterey,2,62,12
CA2701498,HARBOR VIEW WA,Region 9,California,Community water system,75,,Monterey,2,22,12
CA2701820,CORDA RD WS,Region 9,California,Community water system,60,,Monterey,2,21,10
CA1000053,LANARE COMMUNITY SERVICES DIST,Region 9,California,Community water system,660,,Fresno,8,58,13
CA0910019,LAKESIDE PARK ASSOCIATION,Region 9,California,Community water system,"1,554",,El Dorado,6,2,14
CA0707519,DUTCH SLOUGH WATER WORKS,Region 9,California,Community water system,49,,Contra Costa,2,6,20
CA0707597,SANDY POINT MOBILE HOME PARK,Region 9,California,Community water system,67,,Contra Costa,2,7,20
CA5510851,CDCR - SIERRA CONSERVATION CENTER,Region 9,California,Community water system,"3,885",,Tuolumne,3,14,9
CA1009120,RAU DAIRY,Region 9,California,Community water system,105,,Fresno,3,31,7
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,Region 9,California,Community water system,310,,Mendocino,13,7,8
CA1000244,SHADY LAKES MOBILE HOME PARK,Region 9,California,Community water system,160,,Fresno,5,17,10
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"7,086",,San Luis Obispo,21,2,21
CA3600386,FOOTHILL ESTATES MHP,Region 9,California,Community water system,135,,San Bernardino,3,4,39
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,701,,Trinity,16,35,23
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,Region 9,California,Community water system,"9,600",,Los Angeles,20,0,27
CA3103835,LAKEVIEW HILLS COMMUNITY ASSOC,Region 9,California,Community water system,499,,Placer,2,3,4
CA4210013,SOLVANG WATER DIVISION,Region 9,California,Community water system,"5,792",,Santa Barbara,19,12,21
CA1503684,148 EAST WATER SYSTEM,Region 9,California,Community water system,36,,Kern,2,3,2
CA3901304,ENCLAVE AT THE DELTA,Region 9,California,Community water system,39,,San Joaquin,4,16,43
CA1910079,"LYNWOOD-CITY, WATER DEPT.",Region 9,California,Community water system,"66,967",LYNWOOD,Los Angeles,27,7,69
CA3710002,VALLECITOS WD,Region 9,California,Community water system,"105,513",,San Diego,8,0,12
CA4010019,TEMPLETON CSD,Region 9,California,Community water system,"9,322",,San Luis Obispo,46,2,19
CA3301990,AMEZCUA - GARCIA WATER,Region 9,California,Community water system,316,,Riverside,2,17,11
CA1510002,BORON CSD,Region 9,California,Community water system,"2,253",,Kern,6,57,7
CA3610041,SAN GABRIEL VALLEY WC - FONTANA,Region 9,California,Community water system,"237,000",,San Bernardino,100,0,17
CA1910034,"DOWNEY - CITY, WATER DEPT.",Region 9,California,Community water system,"112,214",DOWNEY,Los Angeles,39,5,47
CA3510002,"SAN JUAN BAUTISTA, CITY OF",Region 9,California,Community water system,"2,335",SAN JUAN BAUTISTA,San Benito,14,9,14
CA3600209,ROCKY COMFORT MUTUAL WATER CO,Region 9,California,Community water system,160,,San Bernardino,3,15,34
CA2700787,VEGA RD WS #01,Region 9,California,Community water system,438,,Monterey,9,10,11
CA2700771,SPRINGFIELD WATER COMPANY,Region 9,California,Community water system,200,,Monterey,2,101,11
CA2701515,MOSS LANDING HARBOR WS,Region 9,California,Community water system,402,,Monterey,7,5,9
CA2701670,LANGLEY/VALLE PACIFICO WS,Region 9,California,Community water system,81,,Monterey,13,27,16
CA2702094,BLACKIE RD WS #18,Region 9,California,Community water system,60,,Monterey,3,5,13
CA2702007,VIERRA ESTATES WS,Region 9,California,Community water system,164,,Monterey,11,8,13
CA1400056,BROOKSIDE ESTATES MUTUAL WATER COMPANY,Region 9,California,Community water system,59,,Inyo,4,7,5
CA4400599,SUNSET BEACH MUTUAL WATER CO,Region 9,California,Community water system,150,,Santa Cruz,3,6,98
CA4400502,TROUT GULCH MUTUAL WATER COMPANY,Region 9,California,Community water system,614,,Santa Cruz,8,11,177
CA2110350,NPS GGNRA,Region 9,California,Community water system,"18,447",,Marin,3,10,8
CA2110003,NORTH MARIN WATER DISTRICT,Region 9,California,Community water system,"61,500",,Marin,5,1,39
CA2110006,NORTH MARIN WD - PT. REYES,Region 9,California,Community water system,"1,700",,Marin,8,1,13
CA3900559,WINE COUNTRY APARTMENTS,Region 9,California,Community water system,40,,San Joaquin,3,12,17
CA3900637,BIG WHEEL MOBILE HOME PARK,Region 9,California,Community water system,120,,San Joaquin,3,11,43
CA3900755,SHADY REST TRAILER COURT,Region 9,California,Community water system,120,,San Joaquin,3,25,54
CA3900579,CENTURY MOBILE HOME PARK,Region 9,California,Community water system,50,,San Joaquin,6,58,70
CA5200600,GURNSEY AVENUE MUTUAL WATER SYSTEM,Region 9,California,Community water system,25,,Tehama,4,19,0
CA3610011,CEDARPINES PARK MWC,Region 9,California,Community water system,"2,511",,San Bernardino,29,5,7
CA1700592,KONOCTI SHORES,Region 9,California,Community water system,99,,Lake,5,19,6
CA4400572,FERN GROVE WATER CLUB,Region 9,California,Community water system,182,,Santa Cruz,4,7,11
CA4400664,JARDINES DEL VALLE,Region 9,California,Community water system,150,,Santa Cruz,3,4,11
CA3900653,ISLANDER MARINA,Region 9,California,Community water system,150,,San Joaquin,4,13,21
CA3900732,V & P TRAILER COURT WATER SYSTEM,Region 9,California,Community water system,35,,San Joaquin,2,23,67
CA2210905,"MCCLURE BOAT CLUB, INC.",Region 9,California,Community water system,282,,Mariposa,3,6,13
CA0409183,SIERRA MOON WATER COMPANY,Region 9,California,Community water system,120,,Butte,7,6,6
CA1910013,BELLFLOWER - SOMERSET MWC,Region 9,California,Community water system,"46,300",,Los Angeles,42,1,23
CA0900102,GOLD BEACH PARK,Region 9,California,Community water system,100,,El Dorado,8,12,5
CA0409181,BLUE OAK TERRACE MUTUAL,Region 9,California,Community water system,50,,Butte,2,3,4
CA0300010,DRYTOWN COUNTY WATER DISTRICT,Region 9,California,Community water system,214,,Amador,1,10,20
CA3010100,CITY OF LA PALMA,Region 9,California,Community water system,"15,948",LA PALMA,Orange,14,2,14
CA4910021,BODEGA BAY PUBLIC UTILITY DISTRICT,Region 9,California,Community water system,"1,068",,Sonoma,16,4,9
CA3901114,KING ISLAND TRAILER PARK WATER SYSTEM,Region 9,California,Community water system,200,,San Joaquin,2,10,41
CA3900991,LA TORRES PARK,Region 9,California,Community water system,40,,San Joaquin,2,8,46
CA3410018,RIO LINDA/ELVERTA COMMUNITY WATER DIST,Region 9,California,Community water system,"14,381",,Sacramento,41,16,15
CA4900533,MORTON'S WARM SPRINGS / SONOMA SPRINGS,Region 9,California,Community water system,59,,Sonoma,3,20,6
CA4500013,LAKESIDE WOODS MUTUAL WATER CO,Region 9,California,Community water system,310,,Shasta,9,4,12
CA5810700,BEALE AIR FORCE BASE,Region 9,California,Community water system,"7,252",,Yuba,12,9,38
CA4300577,RANCHO ROBLES MUTUAL WATER COMPANY,Region 9,California,Community water system,103,,Santa Clara,7,16,6
CA2310007,NORTH GUALALA WATER COMPANY,Region 9,California,Community water system,"2,593",,Mendocino,15,6,11
CA2700522,CABANA HOLIDAY WS,Region 9,California,Community water system,400,,Monterey,3,5,10
CA1010053,SHAVER LAKE HEIGHTS MWC,Region 9,California,Community water system,"1,230",,Fresno,11,21,6
CA4900721,COLONIAL PARK,Region 9,California,Community water system,342,,Sonoma,11,10,5
CA5010009,KEYES COMMUNITY SERVICES DIST.,Region 9,California,Community water system,"5,999",,Stanislaus,22,65,19
CA2110502,NPS PRNS - BEACHES,Region 9,California,Community water system,55,,Marin,5,37,7
CA1400135,WILSON CIRCLE MUTUAL WATER COMPANY,Region 9,California,Community water system,129,,Inyo,6,2,15
CA3900844,COUNTRY MANOR MHP,Region 9,California,Community water system,75,,San Joaquin,4,8,19
CA5000049,LONE PINE MHP,Region 9,California,Community water system,64,,Stanislaus,3,8,15
CA2704520,WILLIAMS - RC FARMS WS,Region 9,California,Community water system,35,GONZALES,Monterey,3,0,1
CA3901213,SUNNY ROAD WATER SYSTEM,Region 9,California,Community water system,30,,San Joaquin,3,52,55
CA3301055,VILLAGE OF CHILD HELP,Region 9,California,Community water system,264,,Riverside,7,24,14
CA4500195,STARLITE PINES MUTUAL WATER CO INC,Region 9,California,Community water system,510,,Shasta,8,5,9
CA4500303,TUCKER OAKS EAST WATER DISTRICT,Region 9,California,Community water system,95,,Shasta,6,4,10
CA1910065,"LONG BEACH-CITY, WATER DEPT.",Region 9,California,Community water system,"472,217",LONG BEACH,Los Angeles,66,1,45
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,Region 9,California,Community water system,50,,Alameda,8,54,6
CA2410009,CITY OF MERCED,Region 9,California,Community water system,"87,110",MERCED,Merced,61,2,13
CA1910002,AMARILLO MUTUAL WATER COMPANY,Region 9,California,Community water system,"3,134",,Los Angeles,5,8,17
CA4100510,REDWOOD TERRACE MUTUAL,Region 9,California,Community water system,43,,San Mateo,6,71,43
CA0510004,CCWD - SHEEP RANCH,Region 9,California,Community water system,134,,Calaveras,3,1,17
CA0510019,CCWD - WALLACE,Region 9,California,Community water system,340,,Calaveras,5,3,13
CA0510005,CCWD - WEST POINT,Region 9,California,Community water system,988,,Calaveras,7,11,17
CA0510006,CCWD - JENNY LIND,Region 9,California,Community water system,"9,592",,Calaveras,3,5,20
CA0510016,CCWD - EBBETTS PASS,Region 9,California,Community water system,"12,484",,Calaveras,5,8,18
CA0510017,CCWD - COPPER COVE,Region 9,California,Community water system,"4,416",,Calaveras,3,3,20
CA4900723,SHAMROCK MOBILE HOME PARK,Region 9,California,Community water system,188,,Sonoma,3,34,3
CA1510023,LAKE OF THE WOODS MWC,Region 9,California,Community water system,"1,103",,Kern,19,36,17
CA3500912,COMSTOCK MUTUAL WATER COMPANY,Region 9,California,Community water system,100,,San Benito,3,10,8
CA3400172,TOKAY PARK WATER CO,Region 9,California,Community water system,525,,Sacramento,3,10,87
CA3400135,KORTHS PIRATES LAIR,Region 9,California,Community water system,150,,Sacramento,3,31,22
CA3400125,FREEPORT MARINA,Region 9,California,Community water system,42,,Sacramento,4,9,30
CA3400397,LAGUNA VILLAGE RV PARK,Region 9,California,Community water system,32,,Sacramento,2,9,34
CA3400401,PLANTATION MOBILE HOME PARK,Region 9,California,Community water system,44,,Sacramento,2,6,31
CA3400155,SEQUOIA WATER ASSOC,Region 9,California,Community water system,54,,Sacramento,3,3,15
CA3301280,GOLDEN ERA PRODUCTIONS,Region 9,California,Community water system,500,,Riverside,9,37,15
CA3303003,GALINDO HOUSING FACILITY,Region 9,California,Community water system,50,,Riverside,2,21,14
CA1900062,LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA,Region 9,California,Community water system,184,,Los Angeles,18,6,9
CA4900578,CARMET BY THE SEA WATER COMPANY,Region 9,California,Community water system,280,,Sonoma,4,9,3
CA1502690,"DUNE 3 MUTUAL WATER COMPANY, LLC",Region 9,California,Community water system,119,,Kern,3,11,5
CA5410015,"TULARE, CITY OF",Region 9,California,Community water system,"65,982",TULARE,Tulare,90,9,27
CA1502620,POND MUTUAL WATER COMPANY,Region 9,California,Community water system,48,,Kern,3,24,6
CA3301107,CARVER TRACT MUTUAL WATER COMP,Region 9,California,Community water system,300,,Riverside,3,10,9
CA3301115,CHIRIACO SUMMIT WATER DIST.,Region 9,California,Community water system,534,,Riverside,6,20,17
CA3400179,MC CLELLAN MHP,Region 9,California,Community water system,700,,Sacramento,3,7,29
CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,Region 9,California,Community water system,262,,Sacramento,4,5,20
CA2400128,COUNTRY CLUB COUNTY WD,Region 9,California,Community water system,64,,Merced,3,3,2
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC",Region 9,California,Community water system,250,,Sonoma,6,8,5
CA4000716,AVILA VALLEY MUTUAL WATER CO,Region 9,California,Community water system,75,,San Luis Obispo,5,29,11
CA2900502,FLORISTON WATER SYSTEM,Region 9,California,Community water system,75,,Nevada,3,14,15
CA4500007,VERDE VALE WATER COMPANY,Region 9,California,Community water system,356,,Shasta,7,8,11
CA1510001,ARVIN COMMUNITY SERVICES DIST,Region 9,California,Community water system,"21,851",,Kern,33,131,22
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,Region 9,California,Community water system,"1,000",,San Bernardino,7,5,34
CA1200501,ALDERPOINT COUNTY WATER,Region 9,California,Community water system,219,,Humboldt,3,52,15
CA1500494,WILSON ROAD WATER COMMUNITY,Region 9,California,Community water system,66,,Kern,3,51,7
CA0410006,SFWP-MINERS RANCH,Region 9,California,Community water system,"22,780",,Butte,4,0,31
CA0410012,SFWP-BANGOR,Region 9,California,Community water system,73,,Butte,4,0,17
CA4400571,DAVENPORT COUNTY SANITATION,Region 9,California,Community water system,350,,Santa Cruz,5,27,10
CA4400595,VILLA DEL MONTE MWC,Region 9,California,Community water system,419,,Santa Cruz,3,28,15
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,Region 9,California,Community water system,69,,San Benito,3,5,8
CA3400128,HAPPY HARBOR (SWS),Region 9,California,Community water system,60,,Sacramento,2,12,37
CA4500003,MEL MAR MUTUAL WATER CO,Region 9,California,Community water system,300,,Shasta,2,8,10
CA1500251,RIVERKERN MUTUAL WATER COMPANY,Region 9,California,Community water system,336,,Kern,9,10,7
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,Region 9,California,Community water system,"3,488",,Los Angeles,23,2,20
CA1210013,HUMBOLDT BAY MWD,Region 9,California,Community water system,680,,Humboldt,11,1,46
CA1200592,BIG LAGOON CSD,Region 9,California,Community water system,112,,Humboldt,5,13,11
CA4310009,CITY OF PALO ALTO,Region 9,California,Community water system,"69,397",PALO ALTO,Santa Clara,21,6,20
CA1000298,WOODWARD BLUFFS MHP,Region 9,California,Community water system,300,,Fresno,3,23,13
CA1210015,WILLOW CREEK C.S.D.,Region 9,California,Community water system,"1,710",,Humboldt,12,2,16
CA3510001,"HOLLISTER, CITY OF",Region 9,California,Community water system,"23,358",HOLLISTER,San Benito,21,15,20
CA3710016,RAINBOW MUNICIPAL WD,Region 9,California,Community water system,"21,841",,San Diego,15,5,23
CA1700609,LAZY S MOBILE RANCH,Region 9,California,Community water system,73,,Lake,7,38,26
CA3610049,TWENTYNINE PALMS WATER DISTRICT,Region 9,California,Community water system,"18,795",,San Bernardino,33,70,13
CA2701241,ENCINAL RD WS #01,Region 9,California,Community water system,91,,Monterey,6,54,16
CA3710004,"DEL MAR, CITY OF",Region 9,California,Community water system,"4,268",DEL MAR,San Diego,10,4,10
CA3010120,SAN JUAN BASIN AUTHORITY,Region 9,California,Community water system,0,,Orange,17,7,11
CA3010023,CITY OF NEWPORT BEACH,Region 9,California,Community water system,"67,134",NEWPORT BEACH,Orange,20,1,24
CA3710008,FALLBROOK PUD,Region 9,California,Community water system,"35,237",,San Diego,13,1,17
CA5805001,PLUMAS LAKE,Region 9,California,Community water system,"8,807",,Yuba,8,2,17
CA5810003,OLIVEHURST PUBLIC U.D.,Region 9,California,Community water system,"15,579",,Yuba,22,8,44
CA4310005,CITY OF MILPITAS,Region 9,California,Community water system,"74,865",MILPITAS,Santa Clara,7,3,16
CA4700880,SISKIYOU LAKE HIGHLANDS MWC,Region 9,California,Community water system,100,,Siskiyou,8,2,8
CA1300018,GATEWAY,Region 9,California,Community water system,"1,800",,Imperial,4,3,21
CA4300563,MT. PLEASANT WATER USERS ASSOCIATION,Region 9,California,Community water system,300,,Santa Clara,2,18,5
CA2400084,EVERGREEN MOBILE HOME PARK,Region 9,California,Community water system,36,,Merced,4,10,2
CA3910009,SAN JOAQUIN COUNTY - THORNTON,Region 9,California,Community water system,"1,033",,San Joaquin,5,4,19
CA3901348,FAIROAKS PWS #44,Region 9,California,Community water system,"1,172",,San Joaquin,10,1,11
CA3910002,SAN JOAQUIN COUNTY - COLONIAL HEIGHTS,Region 9,California,Community water system,"1,953",,San Joaquin,9,1,16
CA4200924,EL RANCHO TAJIGUAS,Region 9,California,Community water system,40,,Santa Barbara,4,1,2
CA3910014,SAN JOAQUIN COUNTY-RAYMUS VILLAGE,Region 9,California,Community water system,"1,082",,San Joaquin,3,2,17
CA3910017,SAN JOAQUIN COUNTY-MOKELUMNE ACRES,Region 9,California,Community water system,"3,800",,San Joaquin,17,0,18
CA3910024,SAN JOAQUIN COUNTY - WILKINSON MANOR,Region 9,California,Community water system,903,,San Joaquin,6,3,16
CA3910010,SAN JOAQUIN COUNTY - LINCOLN VILLAGE,Region 9,California,Community water system,"5,990",,San Joaquin,9,3,19
CA4410011,"WATSONVILLE, CITY OF",Region 9,California,Community water system,"65,384",WATSONVILLE,Santa Cruz,34,1,24
CA4900513,MADRONE MUTUAL WATER COMPANY,Region 9,California,Community water system,76,,Sonoma,6,17,5
CA3610034,ONTARIO MUNICIPAL UTILITIES COMPANY,Region 9,California,Community water system,"185,010",ONTARIO,San Bernardino,83,1,15
CA2100549,BLUE MOUNTAIN CENTER,Region 9,California,Community water system,35,,Marin,6,7,5
CA3410016,ORANGE VALE WATER COMPANY,Region 9,California,Community water system,"18,005",,Sacramento,4,2,10
CA4900608,SIX ACRES WATER COMPANY,Region 9,California,Community water system,66,,Sonoma,3,51,2
CA0800548,KLAMATH C.S.D.,Region 9,California,Community water system,100,,Del Norte,4,14,16
CA3010071,JOINT REGIONAL WATER SUPPLY SYSTEM,Region 9,California,Community water system,0,,Orange,8,0,17
CA3010042,SOUTH COAST WATER DISTRICT,Region 9,California,Community water system,"34,232",,Orange,30,1,21
CA2701046,CAMPHORA APARTMENTS,Region 9,California,Community water system,126,,Monterey,2,7,10
CA4110020,PALO ALTO PARK MUTUAL WATER COMPANY,Region 9,California,Community water system,"2,900",,San Mateo,8,5,9
CA1700589,BLUE LAKES MOBILE HOME PARK,Region 9,California,Community water system,32,,Lake,4,27,6
CA5403113,SOUTH FORK ESTATES MUTUAL WATER CO,Region 9,California,Community water system,92,,Tulare,4,3,9
CA4900647,SERENO DEL MAR WATER COMPANY (PUC),Region 9,California,Community water system,435,,Sonoma,16,13,6
CA4910008,RUSSIAN RIVER COUNTY WATER DISTRICT,Region 9,California,Community water system,"4,150",,Sonoma,4,3,9
CA4300997,NASA AMES RESEARCH CENTER,Region 9,California,Community water system,"5,300",,Santa Clara,2,2,3
CA5210004,CITY OF RED BLUFF,Region 9,California,Community water system,"14,076",RED BLUFF,Tehama,16,10,33
CA3600504,KNOLL ENTERPRISES,Region 9,California,Community water system,500,,San Bernardino,5,65,49
CA3600156,LUCERNE VALLEY MWC,Region 9,California,Community water system,275,,San Bernardino,3,4,40
CA3600196,CSA 70 W-4 PIONEERTOWN,Region 9,California,Community water system,400,,San Bernardino,18,78,35
CA3600226,CSA 70-F MORONGO,Region 9,California,Community water system,450,,San Bernardino,5,41,39
CA3600114,CSA 70 W-3 HACIENDA,Region 9,California,Community water system,695,,San Bernardino,4,41,43
CA3600220,CSA 42 ORO GRANDE,Region 9,California,Community water system,544,,San Bernardino,6,2,35
CA3310047,CABAZON WATER DISTRICT,Region 9,California,Community water system,"2,588",,Riverside,18,30,22
CA3200150,HAMILTON BRANCH MWC,Region 9,California,Community water system,250,,Plumas,4,14,7
CA5710004,KNIGHTS LANDING SVC. DIST.,Region 9,California,Community water system,"1,300",,Yolo,9,11,10
CA3600008,APPLE VALLEY FOOTHILL CWD,Region 9,California,Community water system,729,,San Bernardino,6,10,12
CA2701452,MONTEREY DUNES MWA,Region 9,California,Community water system,243,,Monterey,8,8,10
CA4300999,UVAS PINES RV PARK,Region 9,California,Community water system,86,,Santa Clara,3,0,3
CA3601182,HIGH DESERT DETENTION CENTER,Region 9,California,Community water system,300,,San Bernardino,5,0,16
CA4900561,WILLOWSIDE MUTUAL WATER COMPANY,Region 9,California,Community water system,350,,Sonoma,6,11,4
CA2210851,CDF  & FP - MT. BULLION,Region 9,California,Community water system,71,,Mariposa,13,4,7
CA5602115,SAVIERS ROAD MUTUAL WATER CO,Region 9,California,Community water system,368,,Ventura,3,9,7
CA3600009,APPLE VALLEY HEIGHTS CWD,Region 9,California,Community water system,986,,San Bernardino,7,7,7
CA5601137,RINCON WATER & ROAD WORKS,Region 9,California,Community water system,25,,Ventura,3,9,3
CA5601119,SIETE ROBLES MUTUAL WATER CO,Region 9,California,Community water system,323,,Ventura,5,17,12
CA1300664,RIVERFRONT MUTUAL WATER COMPANY,Region 9,California,Community water system,15,,Imperial,4,2,15
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,Region 9,California,Community water system,25,,Lake,3,7,4
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,Region 9,California,Community water system,"7,851",,Alpine,10,1,16
CA3301877,BLOCK 77 WATER COMPANY,Region 9,California,Community water system,50,,Riverside,3,6,11
CA1700561,BLUE LAKES IMPROVEMENT CLUB,Region 9,California,Community water system,80,,Lake,3,2,5
CA4900669,WENDELL LANE MUTUAL WATER COMPANY,Region 9,California,Community water system,82,,Sonoma,3,13,5
CA5400728,GRIER MUTUAL WATER COMPANY,Region 9,California,Community water system,94,,Tulare,2,11,4
CA3310022,LAKE HEMET MWD,Region 9,California,Community water system,"52,913",,Riverside,48,2,18
CA3310052,LAKE HEMET-GARNER VALLEY,Region 9,California,Community water system,709,,Riverside,13,3,7
CA5610010,CAL AMERICAN WC - RIO PLAZA,Region 9,California,Community water system,"1,716",,Ventura,6,5,11
CA5610040,CAL AMERICAN WATER CO,Region 9,California,Community water system,"69,828",,Ventura,6,1,19
CA5610081,CAL AMERICAN WC - LAS POSAS ESTATES,Region 9,California,Community water system,"2,049",,Ventura,2,0,6
CA5710006,CITY OF WOODLAND,Region 9,California,Community water system,"60,978",WOODLAND,Yolo,69,2,19
CA1000345,PANOCHE WATER DISTRICT,Region 9,California,Community water system,146,,Fresno,3,69,16
CA1400099,MOUNTAIN VIEW TRAILER COURT,Region 9,California,Community water system,53,,Inyo,2,7,5
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",Region 9,California,Community water system,"4,041,284",LOS ANGELES,Los Angeles,283,7,287
CA1400155,CONTROL GORGE POWER PLANT,Region 9,California,Community water system,32,,Inyo,7,19,11
CA1410003,LADWP - LONE PINE,Region 9,California,Community water system,0,,Inyo,3,0,6
CA1410510,LADWP - MANZANAR,Region 9,California,Community water system,0,BISHOP,Inyo,3,0,2
CA1410004,LADWP - BIG PINE,Region 9,California,Community water system,0,,Inyo,4,2,4
CA1900555,"LOS ANGELES, CITY OF - POWER PLANT #1",Region 9,California,Community water system,20,SAUGUS,Los Angeles,3,6,14
CA1900542,"LOS ANGELES, CITY OF - POWER PLANT #2",Region 9,California,Community water system,41,SAUGUS,Los Angeles,3,6,16
CA1410002,LADWP - INDEPENDENCE,Region 9,California,Community water system,0,,Inyo,4,0,7
CA4300521,KENNON WATER COMPANY,Region 9,California,Community water system,142,,Santa Clara,2,15,5
CA1300009,WINTERHAVEN COUNTY WATER DISTRICT,Region 9,California,Community water system,660,,Imperial,5,10,25
CA5100107,SUTTER CO. WWD#1 (ROBBINS),Region 9,California,Community water system,339,,Sutter,6,77,35
CA5710009,UC - DAVIS,Region 9,California,Community water system,"48,828",,Yolo,30,3,11
CA3301502,PARADISE VALLEY MWC,Region 9,California,Community water system,30,,Riverside,5,5,12
CA3301294,GLEN IVY HOT SPRINGS,Region 9,California,Community water system,653,,Riverside,6,33,14
CA1502670,"FAIRVIEW WATER COMPANY, LLC",Region 9,California,Community water system,240,,Kern,6,10,6
